population_id,step,sex_ratio,p_female_kept_for_breeding_D,p_female_kept_for_breeding_B,dairy_dur_J,dairy_dur_NG,beef_dur_J,beef_dur_NG,p_cull_P0_D,p_cull_P1_D,p_cull_P2_D,p_cull_P3_D,p_cull_P4_D,p_cull_P5_D,p_cull_P0_B,p_cull_P1_B,p_cull_P2_B,p_cull_P3_B,p_cull_P4_B,p_cull_P5_B,dairy_Male_dur_Fbirth,dairy_Female_dur_Fbirth,beef_Male_dur_Fbirth,beef_Female_dur_Fbirth,dairy_dur_Fadult,beef_dur_Fadult,p_mor_D,p_mor_B
35162412,0,0.6666666666666666,0.8851536369642455,0.8647667842219472,646.5595058124446,144.0,809.7638650904341,167.0,0.4288180745562257,0.4447423375518468,0.4884462456227994,0.5749700407826087,0.6967306826688421,0.0,0.6458588784766132,0.6628782042860383,0.6739308601081714,0.7088770942610042,1.0,0.08838680552406736,252.59692782974344,390.7202314985839,512.9733494851605,644.9405388665222,344.03990934718917,286.6322333811573,0.34286345860119827,0.5195165004999589
35162412,1,0.7142857142857143,0.8909839525405164,0.8478531269492153,646.1318866812094,158.3632100973353,808.91655858178,122.25,0.4111308483315993,0.4482601468314083,0.5039233652577545,0.5737942092106484,0.6806473484602266,0.0,0.6004110550598802,0.6488776598769151,0.6903059940919125,0.6746940296546629,0.6705754084912766,0.08343391706510425,247.54545750357934,381.31807131280385,528.3621351125938,705.0556394763344,337.3939449317739,286.51744885679904,0.36841139800685346,0.14285714285714285
35162412,2,0.375,0.8845132826736803,0.8113278868074458,646.1438598024167,681.0,811.1287787441919,120.0,0.42776941160903825,0.4493623104124956,0.4922701950101611,0.5728230464900668,0.6789579297957209,0.0,0.6302809453108417,0.6271524043077461,0.6497426291844429,0.7158711053601167,0.7136602819410633,1.0,237.90290846877673,370.9803053772959,541.1855306799337,740.109032773781,341.0771901861445,285.091956841589,0.33883674342160847,0.3809866180351863
35162412,3,0.42857142857142855,0.8896686172551905,0.8068871711640966,644.7875249138286,139.0,811.8939298802463,206.0,0.420667221499471,0.44127278891330907,0.49002559990940847,0.5778663188033349,1.0,0.0,0.6395247361827512,0.6098213402632557,0.6366553778179326,0.6533286753125833,0.609423190089327,0.07225060977438919,236.92752836281545,381.484881870486,555.9728080505298,769.1748145650708,343.56058596956495,302.53582986592687,0.34927551466629664,0.2857142857142857
35162412,4,0.7777777777777778,0.8848349247781029,0.801635600484706,641.54644626921,101.0,813.4857711971349,87.0,0.43246064907412235,0.44762807638822627,0.48840166119550915,0.5851568983894018,0.6946393039421418,0.0,0.6032366308224534,0.6331261932216854,0.6564160792799549,0.6920095158568985,0.6466666960755311,0.07133234234460388,239.08490905567402,400.62504498020866,544.1840254743266,755.5874166993336,345.61032265890344,308.0304669703873,0.33164719968163114,0.4225784005288144
35162412,5,0.75,0.8907249467504238,0.2,638.5601212162621,154.28183835364175,737.0,479.0,1.0,0.45737445073606275,0.5016395200686063,0.5843151220211744,0.5,0.0,0.5953943213033281,0.6308553924666255,0.6665632758982837,0.6647513242105338,0.6940424585233798,0.08671579042580262,238.39199157007374,389.4046927914852,522.7462630792227,702.3100377765785,340.62769480722363,310.2099877200164,0.33394835930436223,0.125
35162412,6,0.4880900772725787,0.8918994710424593,0.8384915644302996,634.3865215194165,149.27413112280163,806.2908978976665,142.95050694109742,1.0,0.4573422282218329,0.5038976599826558,0.5767347968042575,0.6839690713527222,0.5,0.6263010957352296,0.6347604478259516,0.6689210233306832,0.5,0.6592646082598946,0.0,256.70718550171233,407.1928517302349,500.2738225629792,665.5204280155642,333.30782165014205,297.99810336652445,0.3122108856429415,0.5252358373904331
35162412,7,0.2,0.8907187550631173,1.0,635.5644055259753,147.85727001424314,699.0,211.0,0.448001999377805,0.45130710417568165,0.5,0.5791207617608572,0.6853197824364944,0.0,0.6126180204615835,0.6512394889760778,0.6925539985996784,0.6864209688885076,0.6827257890069377,0.0,265.5567956475314,424.10693162999763,505.7182078169685,673.8121842496286,336.85382477848265,290.91100178890883,1.0,0.4877072136319773
35162412,8,0.4886443722658236,0.8898470940565648,0.8410950733711553,637.301271440163,150.07899044507636,798.961398345077,277.0,1.0,0.4307084356413456,0.4977409500595176,0.5687280075748641,0.6812542446276035,0.0,0.6034149921201686,0.6499275768284233,0.5,0.7159150596177634,0.6739523675727156,0.0,272.1515516576716,443.5555423969682,505.1691201070592,672.3074551569507,345.74419667801084,293.39728928420163,0.27753046983953594,0.4410995544791857
35162412,9,0.48528198764089975,0.8911788740430054,0.847545153664586,637.0089083148918,154.68604808489457,796.3214002816678,139.12789928509824,0.4220337429133744,0.435085357318628,0.48786551703999326,0.5567104537913037,0.6741453219563869,0.0,0.603185377184264,0.6152524679211455,0.6613744713945091,0.7013065558252294,1.0,0.0,260.49636714116247,421.5147476243367,501.79047619047617,674.5713387806411,348.3411292346299,284.8851004203643,0.28997424593672105,0.45220765855317646
35162412,10,0.48708620561954735,0.8859980723641997,0.8699296546235321,640.072627376611,159.27709005198304,795.3635793061812,140.73013870520325,0.41980166030542365,0.4376455838178322,0.48886183357859814,0.5722994828365943,0.682059293568061,0.0,0.6137872139839606,0.6566219142239567,0.6864866181745438,0.6801571250371578,0.6673338004699735,0.0,249.39502511947063,413.6008903862351,490.81159090909085,636.0451684561274,344.40611880519236,288.6675962074735,0.301866490881223,0.5137028679121355
