holding_of_birth,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06
FR712,,,,,,
FR7133,103.0,,,,,
FR7135,,247.0,,,,
FR7140,115.22222222222223,87.53846153846153,82.375,66.8,,
