holding_of_birth,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06
FR7117,,,,,,
FR7118,,,,,,
FR712,,,,,,
FR7121,,,,,,
FR7124,,,,,,
FR7125,,,,,,
FR7133,,,,,,
FR7135,,,,,,
FR7137,,,,,,
FR7140,0.8,1.0,0.5,0.0,,
FR718,,,,,,
FR719,,,,,,
